,project,mrt,street,distToMrt,walkingtime,percentagesold
0,ALIAS VILLAS,Sixth Avenue,JALAN HAJI ALIAS,0.8781206343764769,0.014635343906274615,0.0
1,TK ONE,Kembangan,LORONG N TELOK KURAU,1.227994579906203,0.020466576331770053,0.0
2,12 ON SHAN,Novena,SHAN ROAD,0.5590987718793906,0.00931831286465651,0.0
3,LINK RESIDENCE @ HOLLAND,Sixth Avenue,GREENLEAF ROAD,1.4898264924090283,0.02483044154015047,0.0
4,FERRA,Orchard,LEONIE HILL,0.5197857557990287,0.008663095929983813,0.0
5,REZI 24,Aljunied,LORONG 24 GEYLANG,0.546439725687971,0.009107328761466183,3.64
6,NYON,Dakota,AMBER ROAD,1.4244092864432691,0.023740154774054487,4.35
7,RESIDENCE TWENTY-TWO,Kembangan,TELOK KURAU ROAD,1.1348211756049273,0.01891368626008212,4.55
8,ONE DRAYCOTT,Orchard,DRAYCOTT PARK,0.6997889779130102,0.011663149631883503,4.69
9,THE ESSENCE,Khatib,CHONG KUO ROAD,2.3428057674216003,0.039046762790360005,7.14
10,10 EVELYN,Newton,EVELYN ROAD,0.5119499618727994,0.008532499364546657,7.14
11,35 GILSTEAD,Newton,GILSTEAD ROAD,0.5326486619435431,0.008877477699059052,8.57
12,MONT BOTANIK RESIDENCE,Bukit Gombak,JALAN REMAJA,0.9142749384712208,0.015237915641187013,11.11
13,ONE MEYER,Mountbatten,MEYER PLACE,0.9731895709028869,0.016219826181714782,15.15
14,FYVE DERBYSHIRE,Novena,DERBYSHIRE ROAD,0.5093738795894636,0.008489564659824393,16.67
15,CASA AL MARE,Pasir Ris,JALAN LOYANG BESAR,1.0194156278600257,0.016990260464333762,22.45
16,THE JOVELL,Tampines East,FLORA DRIVE,1.2670726030023907,0.02111787671670651,26.8
17,1953,Boon Keng,TESSENSOHN ROAD,0.5302913466729889,0.008838189111216482,31.03
18,M5,Orchard,JALAN MUTIARA,0.9980746845500562,0.01663457807583427,33.33
19,RV ALTITUDE,Somerset,RIVER VALLEY ROAD,0.6003849383772649,0.010006415639621081,33.33
