Postal,Latitude,Longitude,Project,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
268592,1.32317393945878,103.79508276788,ALIAS VILLAS,JALAN HAJI ALIAS,0.0,6,0,10
425269,1.31014704779659,103.91112045076,TK ONE,LORONG N TELOK KURAU,0.0,5,0,15
328105,1.3247872620768202,103.846354106513,12 ON SHAN,SHAN ROAD,0.0,30,0,12
279353,1.32202720700895,103.78682746009399,LINK RESIDENCE @ HOLLAND,GREENLEAF ROAD,0.0,2,0,10
239219,1.29930788596275,103.832399949956,FERRA,LEONIE HILL,0.0,33,0,9
398636,1.31156422500947,103.883576001591,REZI 24,LORONG 24 GEYLANG,3.64,110,4,14
439858,1.29985812336731,103.898478990238,NYON,AMBER ROAD,4.35,92,4,15
423844,1.31101225037146,103.91104219781602,RESIDENCE TWENTY-TWO,TELOK KURAU ROAD,4.55,22,1,15
259385,1.3100846071438799,103.83071567633301,ONE DRAYCOTT,DRAYCOTT PARK,4.69,64,3,10
779830,1.40345527031332,103.81716606382,THE ESSENCE,CHONG KUO ROAD,7.14,84,6,26
309312,1.316154918304,103.840533848314,10 EVELYN,EVELYN ROAD,7.14,56,4,11
309079,1.31711023904745,103.83795684474899,35 GILSTEAD,GILSTEAD ROAD,8.57,35,3,11
NIL,1.3583316178751799,103.760010714342,MONT BOTANIK RESIDENCE,JALAN REMAJA,11.11,54,6,23
437988,1.29824018210279,103.886163635826,ONE MEYER,MEYER PLACE,15.15,66,10,15
309461,1.31627067397227,103.845722112332,FYVE DERBYSHIRE,DERBYSHIRE ROAD,16.67,36,6,11
506930,1.37785629605719,103.95708961997299,CASA AL MARE,JALAN LOYANG BESAR,22.45,49,11,17
506765,1.3573936395466202,103.96596914554199,THE JOVELL,FLORA DRIVE,26.8,250,67,17
217701,1.31647752400494,103.85775084992201,1953,TESSENSOHN ROAD,31.03,58,18,12
249185,1.29566658592682,103.82885975081,M5,JALAN MUTIARA,33.33,33,11,10
238385,1.29653566001894,103.83517945905001,RV ALTITUDE,RIVER VALLEY ROAD,33.33,63,21,9
