Project,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District,Street
ALIAS VILLAS,0.0,6,0,10,JALAN HAJI ALIAS
TK ONE,0.0,5,0,15,LORONG N TELOK KURAU
12 ON SHAN,0.0,30,0,12,SHAN ROAD
LINK RESIDENCE @ HOLLAND,0.0,2,0,10,GREENLEAF ROAD
FERRA,0.0,33,0,9,LEONIE HILL
REZI 24,3.64,110,4,14,LORONG 24 GEYLANG
NYON,4.35,92,4,15,AMBER ROAD
RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD
ONE DRAYCOTT,4.69,64,3,10,DRAYCOTT PARK
THE ESSENCE,7.14,84,6,26,CHONG KUO ROAD
10 EVELYN,7.14,56,4,11,EVELYN ROAD
35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD
MONT BOTANIK RESIDENCE,11.11,54,6,23,JALAN REMAJA
ONE MEYER,15.15,66,10,15,MEYER PLACE
FYVE DERBYSHIRE,16.67,36,6,11,DERBYSHIRE ROAD
CASA AL MARE,22.45,49,11,17,JALAN LOYANG BESAR
THE JOVELL,26.8,250,67,17,FLORA DRIVE
1953,31.03,58,18,12,TESSENSOHN ROAD
M5,33.33,33,11,10,JALAN MUTIARA
RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD
